content,cond,time,headline,abstract,id,between_fixation_raw,button_raw,clue_onset_raw,rate_onset_raw,read_onset_raw,rt_raw,run_raw,within_fixation_raw,order
Cancer,Content,8,How to Make Summer Your Training Partner,Athletes' performance actually may improve as a result of their struggles with soaring temperatures.,15,746.1365967,1,731.0308838,743.1273804,732.6002808,744.5701294,1,740.602417,39
content,cond,time,headline,abstract,id,between_fixation_raw,button_raw,clue_onset_raw,rate_onset_raw,read_onset_raw,rt_raw,run_raw,within_fixation_raw,order
Fitness,Friend,10,Strategies for Hot-Weather Exercise,"A chilled collar or an icy drink can help keep an athlete cool in hot weather. Dousing the head with water may provide added benefits, a new study found.",14,27.55296326,4,12.02630424,24.54648972,13.59651947,26.16986275,2,23.60288239,0
Age,Wall,10,Fitness May Lower Dementia Risk,"Being physically fit in midlife is associated with a lower risk of dementia in old age, a new study reports.",72,45.38843918,4,28.66305733,42.37718201,30.23313141,42.7062149,2,40.23751831,1
Science,Content,10,Study Questions Benefit of Extra Vitamin D,"The supplements have no effect on the most common blood markers for cardiovascular risk and death, a randomized trial indicates.",36,64.14094543,1,48.8163414,61.13591003,50.39823914,63.19105148,2,60.40649414,2
Nutrition,Read,10,Love and Food in Beauty's Kitchen,"Throughout my childhood, my family life was ruled by my father's weight loss struggles. But everything was different in my grandmother's kitchen.",11,80.80898285,5,65.1674881,77.80561066,66.74346924,79.57604218,2,76.75895691,3
Fitness,Friend,10,"Good and Bad, the Little Things Add Up in Fitness","Perhaps the most dominant exercise-science theme of 2012 was that little things add up, with both positive and pernicious effects.",52,97.74422455,3,82.41941833,94.73777008,83.99620819,96.56108093,2,94.01029968,4
Fitness,Content,12,"The 10-Minute Workout, Times Three","A 10-minute brisk walk three times a day proved more effective than a single 30-minute workout at keeping blood pressure in a healthy range, researchers at Arizona State University report.",6,120.4134979,5,102.4554214,117.4044189,104.0514832,119.5001678,2,116.0628433,5
Cancer,Wall,10,Most Food Illnesses Come From Greens,"Leafy vegetables like lettuce - not dreaded spoiled shellfish - cause the most food-borne illness, with contaminated poultry being responsible for the most deaths.",69,138.9827271,5,123.5246887,135.9754333,125.1163712,137.716507,2,135.1316528,6
Age,Read,12,Really? Bright Light and Exercise Trigger Migraines,"A study published in the journal Neurology found that unlike exercise, bright light may not be a cause of migraines. But more research is needed.",65,159.6513367,4,141.0134583,156.6463013,142.5923767,157.9856262,2,154.6004944,7
Fitness,Read,12,Low-Fat Diet May Ease Hot Flashes,"A study suggests that weight loss with a low-fat, high fruit and vegetable diet may help reduce or eliminate hot flashes and night sweats associated with menopause.",2,181.2897644,3,162.0639648,178.2785645,163.6263733,178.6866913,2,175.6362305,8
Age,Friend,8,Dieting vs. Exercise for Weight Loss,Two new studies look at the irksome question of why so many of us who work out remain so heavy.,9,196.2554321,5,182.5003662,193.2527771,184.0913544,194.855835,2,192.1052094,9
Cancer,Content,12,Study Finds Modest Declines in Obesity Rates Among Young Children From Poor Families,"The share of 2-to-4-year-olds who were obese declined to 14.9 percent in 2010, down from 15.2 percent in 2003.",49,215.8244476,1,198.3840332,212.8183136,199.9810791,214.7434235,2,211.990387,10
Laws,Wall,12,Obesity in Young Is Seen as Falling in Several Cities,Small but significant declines in childhood obesity offer the first indication that one of the nation's most intractable health problems may be reversing course.,43,234.4104004,1,217.1538239,231.4011993,218.7574158,232.6441498,2,230.7592163,11
Disease,Read,10,Really?: Always Consume Carbs Before Surgery,"Having a drink containing carbohydrates up to two hours before surgery may aid recovery, but more research is needed.",25,252.3628998,4,236.9387817,249.3504791,238.5126648,250.7629242,2,248.5135193,12
Nutrition ,Content,12,Overcoming a Heart Condition to Win Olympic Gold,One of the most compelling aspects of the swimmer Dana Vollmer's story is that she overcame not only athletic stumbles but also a potentially deadly heart condition.,8,272.0641479,1,254.0901642,269.0480042,255.6867828,272.0152588,2,267.6974182,13
Fitness,Friend,10,What You Think You Know (but Don't) About Wise Eating,"Joe Schwarcz, a scientist at McGill University, sets the record straight on a host of widely circulated nutritional falsehoods.",51,292.4163513,3,273.2932129,289.4091187,274.87323,289.801239,2,284.8819885,14
Fitness,Wall,10,Finding Your Ideal Running Form,"Many experts say runners should be taught the best form, but new research suggests that runners often improve their form just by running more.",17,311.6531372,4,294.3427734,308.6407776,295.9094849,310.4188232,2,305.9177551,15
Cancer,Content,8,Really? Probiotic Supplements Can Lower Cholesterol,"Probiotics may improve digestive health, but it is not yet clear whether they can reduce cholesterol levels.",75,328.2211914,2,313.278717,325.217041,314.8557434,326.7219543,2,322.8696899,16
Disease,Read,12,Weight-Loss Surgery May Prevent Diabetes,A new study shows that bariatric surgery not only produced sustained weight loss in obese men and women but substantially reduced their odds of developing Type 2 diabetes.,16,349.4773254,3,331.2479858,346.4654846,332.8226318,348.3739014,2,344.8388672,17
Age,Friend,12,Really? Sugar-Free Gum Helps Prevent Cavities,"Sugar-free gum may reduce cavities, but the effect may have to do with the increased salivary flow caused by chewing the product, not its additives.",53,368.658905,2,351.4004517,365.6566772,352.9924927,366.0759583,2,365.0100098,18
Fitness,Wall,12,Really? Dieting Is a Short-lived New Year's Resolution,"A study of Google searches on diet-related keywords indicates that people are more likely to consider dieting in December and January, but interest drops off sharply thereafter.",50,390.6442871,2,371.3852539,387.63974,372.9894714,388.0952759,2,384.9934387,19
Science,Read,8,Ask Well: Squats for Aging Knees,The Phys Ed columnist Gretchen Reynolds responds to a reader who is concerned about her painful knees.,63,405.2962036,4,391.8728943,402.289917,393.4362488,403.8128662,2,401.4453735,20
Fitness,Wall,8,The Benefits of Middle-Age Fitness,"Even if you haven't previously bothered with exercise, getting fit in middle age appears to reshape the landscape of aging.",19,422.8646851,3,407.6239319,419.8557739,409.2068176,421.2828369,2,417.2138062,21
Nutrition,Content,10,Is There One Right Way to Run?,A new study of barefoot tribespeople in Kenya raises tantalizing questions about just how humans really are meant to move.,62,441.019104,1,425.1937561,438.0087891,426.7569275,439.5835571,2,436.7660522,22
Nutrition,Friend,10,Low Vitamin D Level Tied to Type 1 Diabetes,Researchers found that subjects with low blood levels of vitamin D were more likely to develop diabetes than those with higher levels.,41,458.4519958,2,443.0438843,455.4447327,444.6110535,457.2536011,2,454.618103,23
Age,Content,8,An Unexpected Road Hazard: Obesity,"Obese drivers are more likely than normal weight drivers to die in car accidents, a new study finds.",60,478.0066528,1,462.4826965,475.0012512,464.0448303,475.9052429,2,472.053894,24
Nutrition,Friend,10,"Cholesterol Is Falling in Adults, Study Finds","Changes in the amount of trans fats in the American diet may be forcing down cholesterol levels in adults, new research suggests.",30,494.3560486,3,479.033783,491.3457642,480.60495,493.1904602,2,490.6055603,25
Nutrition,Read,8,Really? Timing of Meals Affects Weight Loss,"Studies suggest that eating at later hours, especially main meals, can affect efforts to lose weight.",70,511.0102539,5,496.9680176,508.0031738,498.5417175,509.2265015,2,506.5580444,26
Nutrition,Wall,10,What's Your Workout? A Food Star's Fitness Plan,The Food Network chef Robert Irvine manages to combine a fast-paced culinary career with a passion for fitness.,18,529.9436646,3,513.1348877,526.9385376,514.7034912,527.3610229,2,524.7092896,27
Science,Read,10,Curbing the Enthusiasm on Daily Multivitamins,Experts are concerned about letting optimism about the potential benefits of nutritional supplements get ahead of the scientific evidence.,34,546.3119507,4,531.170105,543.2993774,532.7456055,544.079895,2,542.7619629,28
Well-being,Content,10,How to Go Vegan,"Vegan chefs, who agree that changing eating habits overnight can be challenging, offered advice for stocking a vegan pantry and finding replacements for dairy products.",55,562.6638794,4,547.5276489,559.6487427,549.0976563,562.1315308,2,559.1132813,29
Age,Friend,12,The Unproven Claims of Fitness Products,"A review of 431 performance-enhancing claims for 104 sports devices, equipment, foods and drinks found not a single methodologically sound study that supported any of the claims.",4,583.0496826,2,563.7913208,580.0393677,565.383728,581.4718018,2,577.3986206,30
Laws,Wall,12,Do Exercise Programs Help Children Stay Fit?,"Exercise programs during or after school did little to make young people more active, a new study found. So how can we get children to move more?",28,601.7186279,2,584.0758667,598.7052612,585.6635132,599.7192993,2,597.6677246,31
Fitness,Wall,8,Malnourished Gain Lifesaver in Antibiotics,"Cheap antibiotics given with nutritional treatment could save tens of thousands of lives a year, researchers found.",67,619.1870728,4,604.8449097,616.1777344,606.4244385,618.3713989,2,614.4362793,32
Age,Content,10,B.M.I. Can Predict Health Risks,"For certain health problems, body mass index, derived from the ratio of height to weight, is the best overall predictor, a new study says.",47,636.22229,,620.913269,633.2196655,622.482605,,2,632.4881592,33
Well-being,Friend,12,"Myths of Weight Loss Are Plentiful, Researcher Says",A study tries to set the record straight on unproven assumptions that have been repeated so often that even scientists have tended to believe them.,66,654.7077026,5,637.4494019,651.6948242,639.046875,653.2587891,2,651.0571289,34
Nutrition,Read,10,Binge Eating Among Men Steps Out of the Shadows,"Binge eating disorder, which affects about eight million Americans, is about as common in men as in women, but treatment has mainly focused on women.",12,673.7765503,4,656.9349976,670.7659302,658.5152588,671.5108643,2,668.5288696,35
Science,Friend,8,Really?: Adding Milk to Tea Destroys its Antioxidants,Researchers have been surprised to find that adding milk may strip tea of some of its beneficial effects.,22,692.7954102,1,677.4896851,689.7832031,679.0498047,690.1795044,2,687.0613403,36
Nutrition,Read,10,"Gluten-Free, Whether You Need It or Not","Avoiding gluten is a must for those with celiac disease, but many people are going gluten-free in a bid for a healthy diet.",68,709.9484253,2,694.2069702,706.9407959,695.7865601,707.9317627,2,705.7965698,37
Fitness,Content,10,Doubt on Soy and Fiber as Menopause Aid,Researchers concluded that adding soy and fiber to the diet probably does not help prevent hot flashes and night sweats.,39,727.3161011,1,710.9744263,724.3098145,712.550415,725.2162476,2,722.5653687,38
Science,Wall,10,Caffeine Linked to Lower Birth Weight Babies,"Drinking caffeinated beverages while pregnant may raise the risk of having a lower birth weight baby, a new study found.",77,745.4730835,2,729.7426147,742.461731,731.3129272,743.4514771,2,741.317749,39
